movieId,r_bar_i,percentile,group
298,3.5,71.8,G10
299,3.73,84.04,G10
300,3.67,80.98,G10
301,3.53,72.67,G10
302,3.75,85.93,G10
303,3.04,39.21,G6
304,3.2,47.81,G7
305,2.71,20.64,G5
306,4.09,97.36,G10
307,4.0,93.3,G10
308,3.91,91.85,G10
309,3.64,78.92,G10
310,2.77,23.37,G5
311,2.67,19.76,G4
312,2.63,18.39,G4
313,3.03,38.86,G6
314,3.85,89.8,G10
315,2.91,28.6,G5
316,3.36,58.31,G8
317,3.15,44.81,G7
318,4.45,98.59,G10
319,3.79,87.22,G10
320,3.25,51.99,G8
321,3.76,86.32,G10
322,3.7,82.36,G10
324,3.69,81.92,G10
325,2.65,18.95,G4
326,4.09,97.31,G10
327,2.82,25.01,G5
328,3.16,45.06,G7
329,3.33,57.27,G8
330,2.81,24.67,G5
331,3.29,53.48,G8
332,2.77,23.23,G5
333,3.35,58.25,G8
334,3.82,88.61,G10
335,3.27,52.47,G8
336,2.85,26.45,G5
337,3.76,86.13,G10
338,3.0,31.59,G6
339,3.5,71.75,G10
340,3.38,59.85,G8
341,3.59,76.23,G10
342,3.52,72.22,G10
343,2.66,19.05,G4
344,2.99,31.48,G6
345,3.65,79.75,G10
346,3.43,62.81,G9
347,3.41,61.77,G9
348,3.7,82.72,G10
349,3.66,80.09,G10
350,3.47,64.94,G9
351,3.31,54.95,G8
352,3.26,52.27,G8
353,3.52,72.25,G10
354,3.16,45.1,G7
355,2.46,11.91,G4
356,4.03,96.78,G10
357,3.65,79.69,G10
358,3.25,51.92,G8
359,3.29,53.97,G8
360,2.74,21.28,G5
361,3.34,57.47,G8
362,3.4,61.18,G9
363,4.0,93.34,G10
364,3.78,87.0,G10
365,3.18,46.59,G7
366,2.96,30.44,G6
367,3.18,46.71,G7
368,3.41,61.77,G9
369,3.32,55.53,G8
370,2.97,30.82,G6
371,3.26,52.15,G8
372,3.25,52.02,G8
373,3.78,87.03,G10
374,2.44,11.65,G4
375,3.27,52.88,G8
376,3.28,53.41,G8
377,3.5,66.11,G9
378,3.13,43.68,G7
379,2.74,21.24,G5
380,3.49,66.0,G9
381,3.41,61.41,G9
382,3.04,39.06,G6
383,3.2,47.42,G7
384,2.98,31.06,G6
385,3.57,74.87,G10
386,2.82,24.96,G5
387,2.67,19.7,G4
388,3.56,74.18,G10
389,3.49,65.9,G9
390,3.43,63.08,G9
391,3.16,45.26,G7
392,3.31,55.37,G8
393,1.91,4.02,G2
394,3.34,57.72,G8
395,3.12,42.71,G7
396,2.52,16.13,G4
397,2.22,8.08,G3
398,3.38,60.05,G9
399,2.25,8.6,G3
400,2.55,16.67,G4
401,3.26,52.37,G8
402,2.92,29.18,G5
403,1.96,4.21,G2
404,3.3,54.75,G8
405,2.47,12.02,G4
406,3.09,41.38,G7
407,3.15,44.61,G7
408,3.25,49.9,G7
409,3.03,38.61,G6
410,3.0,31.59,G6
411,2.77,23.41,G5
412,3.57,74.8,G10
413,2.81,24.5,G5
414,2.63,18.39,G4
415,2.82,24.96,G5
416,2.71,20.61,G5
417,3.52,72.29,G10
418,2.71,20.69,G5
419,2.51,16.03,G4
420,2.76,23.06,G5
421,3.31,55.16,G8
422,3.24,49.71,G7
423,3.01,38.22,G6
424,2.72,20.89,G5
425,3.48,65.43,G9
426,3.12,42.76,G7
427,2.55,16.56,G4
428,3.82,88.6,G10
429,2.37,10.51,G4
430,2.34,10.03,G4
431,3.7,82.3,G10
432,2.75,21.48,G5
433,2.93,29.25,G5
434,3.06,39.83,G6
435,2.61,17.74,G4
436,2.62,17.99,G4
437,2.62,18.06,G4
438,2.72,20.85,G5
439,2.57,16.92,G4
440,3.6,76.93,G10
441,3.69,81.9,G10
442,3.05,39.44,G6
443,3.35,58.0,G8
444,2.43,11.48,G4
445,2.89,27.77,G5
446,3.9,91.31,G10
447,2.51,16.02,G4
448,3.56,74.39,G10
449,3.48,65.25,G9
450,3.36,58.72,G8
451,3.07,40.09,G7
452,3.56,74.37,G10
453,3.11,42.56,G7
454,3.5,66.11,G9
455,2.64,18.6,G4
456,3.84,89.6,G10
457,3.99,93.19,G10
458,3.16,45.25,G7
459,2.77,23.38,G5
460,2.44,11.63,G4
461,3.35,58.02,G8
462,2.62,18.02,G4
463,2.8,24.43,G5
464,2.93,29.22,G5
465,3.27,52.71,G8
466,2.93,29.2,G5
467,3.39,60.17,G9
468,3.32,55.83,G8
469,3.27,52.94,G8
470,2.16,7.45,G3
471,3.67,80.25,G10
472,2.89,27.86,G5
473,2.33,9.64,G3
474,3.73,84.18,G10
475,3.93,92.17,G10
476,3.02,38.48,G6
477,3.55,73.86,G10
478,2.43,11.49,G4
479,2.92,29.08,G5
480,3.67,80.97,G10
481,3.34,57.33,G8
482,3.43,62.97,G9
483,3.79,87.4,G10
484,2.81,24.64,G5
485,2.79,23.9,G5
486,2.69,20.1,G5
487,2.63,18.37,G4
488,3.41,61.49,G9
489,2.77,23.36,G5
490,3.36,58.3,G8
491,3.42,61.92,G9
492,3.65,79.76,G10
493,3.61,77.47,G10
494,3.36,58.86,G8
495,3.45,64.18,G9
496,3.29,53.99,G8
497,3.9,91.3,G10
498,2.81,24.57,G5
499,2.76,23.18,G5
500,3.39,60.45,G9
501,3.83,89.34,G10
502,2.31,9.46,G3
503,3.1,42.16,G7
504,2.97,30.99,G6
505,2.55,16.53,G4
506,3.49,65.82,G9
507,3.51,72.08,G10
508,3.82,88.43,G10
509,3.69,82.12,G10
510,2.75,21.46,G5
511,3.15,44.56,G7
512,2.92,29.17,G5
513,2.94,29.76,G5
514,3.46,64.52,G9
515,3.91,91.67,G10
516,3.09,41.33,G7
517,3.13,43.87,G7
518,2.7,20.27,G5
519,2.22,8.1,G3
520,3.05,39.3,G6
521,3.33,56.13,G8
522,3.56,74.16,G10
523,3.65,79.58,G10
524,3.54,73.38,G10
525,3.38,59.99,G8
526,3.18,46.68,G7
527,4.31,98.49,G10
528,2.79,23.99,G5
529,3.85,89.9,G10
530,3.12,43.3,G7
531,3.54,73.44,G10
532,3.06,39.84,G6
533,2.94,29.61,G5
534,3.89,91.22,G10
535,3.78,86.94,G10
536,3.28,53.25,G8
537,3.16,45.27,G7
538,3.71,83.13,G10
539,3.52,72.47,G10
540,2.72,20.94,G5
541,4.14,97.68,G10
542,2.87,27.05,G5
543,3.24,49.77,G7
544,2.93,29.47,G5
545,2.59,17.41,G4
546,2.12,7.1,G3
547,2.82,24.96,G5
548,2.92,28.8,G5
549,3.89,91.22,G10
550,3.08,41.11,G7
551,3.73,84.21,G10
552,3.22,48.7,G7
553,3.7,82.4,G10
554,3.07,40.48,G7
555,3.81,88.21,G10
556,3.98,93.09,G10
558,2.77,23.21,G5
559,2.89,28.0,G5
560,3.06,40.06,G7
561,3.47,65.14,G9
562,3.79,87.27,G10
563,3.43,62.83,G9
564,2.35,10.23,G4
565,3.19,47.05,G7
566,2.8,24.28,G5
567,3.34,57.72,G8
568,3.58,75.3,G10
569,2.95,29.99,G5
570,3.47,65.12,G9
571,3.62,77.68,G10
572,2.73,21.09,G5
573,3.45,63.75,G9
574,3.31,55.19,G8
575,3.0,38.05,G6
576,2.5,14.16,G4
577,2.84,25.99,G5
579,2.99,31.32,G6
580,3.08,40.68,G7
581,3.99,93.28,G10
582,3.38,60.02,G9
583,3.52,72.31,G10
584,3.06,39.63,G6
585,2.69,20.04,G5
586,3.09,41.53,G7
587,3.45,63.81,G9
588,3.68,81.63,G10
589,3.93,92.31,G10
590,3.73,84.07,G10
591,2.02,6.48,G3
592,3.4,61.27,G9
593,4.18,97.98,G10
594,3.61,77.47,G10
595,3.68,81.29,G10
596,3.51,71.87,G10
597,3.42,62.51,G9
598,3.58,75.31,G10
599,4.01,96.55,G10
600,3.0,38.12,G6
601,3.41,61.43,G9
602,4.02,96.66,G10
603,2.97,30.9,G6
604,2.0,5.36,G3
605,3.3,54.16,G8
606,2.59,17.39,G4
607,2.58,17.29,G4
608,4.11,97.52,G10
609,3.01,38.21,G6
610,3.38,60.09,G9
611,2.52,16.19,G4
612,2.73,21.02,G5
613,3.63,78.59,G10
614,3.13,43.79,G7
615,3.86,90.17,G10
616,3.38,60.0,G8
617,3.6,76.86,G10
618,2.77,23.28,G5
619,2.61,17.94,G4
620,3.41,61.84,G9
621,3.61,77.25,G10
623,3.09,41.15,G7
624,2.67,19.71,G4
625,3.28,53.23,G8
626,2.89,27.69,G5
627,3.55,73.69,G10
628,3.76,86.2,G10
629,3.1,42.19,G7
630,3.33,57.29,G8
631,2.74,21.41,G5
632,3.93,92.15,G10
633,3.37,59.25,G8
634,2.33,10.02,G4
635,3.65,79.34,G10
636,2.9,28.29,G5
637,2.85,26.28,G5
638,3.29,53.75,G8
639,2.92,29.09,G5
640,2.97,30.95,G6
641,2.48,12.21,G4
642,2.0,5.36,G3
643,2.24,8.22,G3
644,2.18,7.76,G3
645,3.63,78.43,G10
647,3.55,73.87,G10
648,3.39,60.48,G9
649,3.74,84.33,G10
650,3.47,64.81,G9
651,2.58,17.21,G4
652,3.05,39.48,G6
653,3.22,48.73,G7
654,2.85,26.46,G5
655,2.28,9.11,G3
656,2.9,28.45,G5
657,2.51,16.06,G4
658,3.02,38.5,G6
659,3.7,82.68,G10
660,3.02,38.61,G6
661,3.32,55.77,G8
662,3.25,51.91,G8
663,3.36,58.85,G8
664,3.05,39.54,G6
665,3.97,92.91,G10
666,3.48,65.23,G9
667,2.55,16.53,G4
668,4.15,97.76,G10
670,4.14,97.7,G10
671,3.68,81.55,G10
672,2.52,16.12,G4
673,2.73,21.14,G5
674,2.97,31.03,G6
675,2.14,7.32,G3
676,2.57,17.04,G4
678,4.1,97.39,G10
679,3.36,58.68,G8
680,3.56,74.64,G10
681,3.58,75.49,G10
682,3.2,47.34,G7
683,2.7,20.37,G5
684,2.57,17.04,G4
685,3.54,73.11,G10
687,3.0,31.56,G6
688,2.61,17.96,G4
690,3.33,56.22,G8
691,3.06,39.78,G6
692,2.35,10.23,G4
693,3.0,34.83,G6
694,3.01,38.16,G6
695,3.19,46.89,G7
696,3.18,46.43,G7
697,2.79,23.86,G5
698,2.79,23.93,G5
699,2.24,8.2,G3
700,3.26,52.19,G8
701,3.18,46.44,G7
702,3.76,86.14,G10
703,2.87,27.07,G5
704,2.83,25.98,G5
705,3.51,71.99,G10
706,3.14,43.91,G7
707,3.07,40.49,G7
708,3.41,61.5,G9
709,3.29,53.73,G8
710,2.75,21.5,G5
711,2.67,19.68,G4
712,3.51,71.96,G10
713,3.46,64.68,G9
714,3.91,91.71,G10
715,3.56,74.57,G10
716,2.96,30.42,G6
717,3.23,49.38,G7
718,3.44,63.14,G9
719,2.98,31.06,G6
720,4.12,97.54,G10
721,3.0,34.83,G6
722,3.62,77.64,G10
723,3.06,39.82,G6
724,3.08,40.6,G7
725,2.81,24.57,G5
726,3.14,44.41,G7
727,3.18,46.65,G7
728,3.82,88.45,G10
729,3.41,61.48,G9
730,3.06,39.7,G6
731,2.93,29.26,G5
732,2.81,24.59,G5
733,3.68,81.54,G10
734,2.59,17.46,G4
735,3.51,72.01,G10
736,3.2,47.83,G7
737,2.15,7.35,G3
738,3.15,44.48,G7
739,2.08,6.88,G3
741,3.95,92.54,G10
742,2.74,21.37,G5
743,2.75,22.94,G5
744,2.97,30.98,G6
745,4.17,97.95,G10
746,3.78,86.93,G10
747,2.35,10.19,G4
748,3.17,46.31,G7
749,2.71,20.77,G5
750,4.25,98.15,G10
751,3.53,72.9,G10
752,2.83,25.19,G5
753,3.3,54.14,G8
754,2.93,29.25,G5
755,3.38,59.91,G8
756,3.18,46.7,G7
757,3.66,80.14,G10
758,3.0,34.83,G6
759,3.86,90.32,G10
760,3.66,80.25,G10
761,2.83,25.13,G5
762,2.43,11.5,G4
763,3.03,38.67,G6
764,3.37,59.01,G8
765,3.05,39.5,G6
766,3.45,64.16,G9
767,3.54,73.46,G10
768,3.01,38.37,G6
769,3.58,75.25,G10
770,2.59,17.46,G4
771,3.36,58.71,G8
772,2.9,28.1,G5
773,3.32,55.76,G8
774,2.69,20.02,G5
775,2.92,29.03,G5
776,2.89,28.0,G5
777,2.84,26.21,G5
778,4.01,96.63,G10
779,2.85,26.48,G5
780,3.38,59.88,G8
781,3.43,62.53,G9
782,2.88,27.55,G5
783,3.26,52.33,G8
784,2.72,20.86,G5
785,3.29,53.85,G8
786,3.15,44.9,G7
787,3.76,86.18,G10
788,2.9,28.05,G5
789,3.06,40.06,G7
790,3.51,72.17,G10
791,3.62,77.51,G10
792,2.99,31.42,G6
793,3.23,49.34,G7
794,3.37,58.99,G8
795,3.2,47.89,G7
796,2.94,29.79,G5
797,3.37,59.05,G8
798,2.83,25.2,G5
799,3.38,59.84,G8
800,4.08,97.23,G10
801,3.02,38.58,G6
802,3.49,65.99,G9
803,3.57,75.13,G10
804,3.09,41.19,G7
805,3.7,82.78,G10
806,3.16,45.22,G7
807,3.26,52.1,G8
808,3.23,49.13,G7
809,2.88,27.48,G5
810,1.89,3.94,G2
812,2.44,11.64,G4
813,2.76,23.11,G5
814,3.14,43.97,G7
815,2.02,6.49,G3
816,3.21,47.98,G7
818,2.64,18.76,G4
819,3.45,63.8,G9
820,2.79,23.96,G5
821,3.0,34.83,G6
822,3.2,47.63,G7
823,3.32,55.66,G8
824,3.81,88.37,G10
825,2.71,20.77,G5
826,2.29,9.26,G3
827,3.13,43.86,G7
828,3.17,46.27,G7
829,2.69,20.01,G5
830,3.1,41.67,G7
831,3.54,73.1,G10
832,3.46,64.51,G9
833,2.73,21.18,G5
834,2.66,18.99,G4
835,3.18,46.53,G7
836,2.91,28.73,G5
837,3.43,63.07,G9
838,3.8,87.71,G10
839,2.74,21.35,G5
840,2.71,20.59,G5
841,3.69,82.17,G10
842,2.77,23.43,G5
843,3.34,57.74,G8
844,3.75,84.64,G10
845,3.43,62.88,G9
846,3.5,66.12,G9
847,2.85,26.28,G5
848,3.67,81.08,G10
849,2.74,21.34,G5
850,3.54,73.02,G10
851,3.5,71.78,G10
852,3.19,47.24,G7
853,3.28,53.31,G8
854,3.69,82.12,G10
855,2.83,25.17,G5
856,3.4,60.7,G9
857,3.28,53.09,G8
858,4.37,98.56,G10
859,2.33,9.86,G3
860,3.53,72.75,G10
861,3.45,64.11,G9
862,3.61,77.35,G10
864,3.31,54.89,G8
865,3.31,55.12,G8
866,3.73,84.23,G10
867,2.37,10.51,G4
868,3.14,44.41,G7
869,3.1,41.6,G7
870,2.26,9.0,G3
871,3.22,48.94,G7
872,3.48,65.55,G9
873,2.99,31.35,G6
874,3.08,40.57,G7
875,3.43,62.8,G9
876,2.69,20.09,G5
877,3.2,47.82,G7
878,2.8,24.45,G5
879,2.83,25.22,G5
880,2.49,12.28,G4
881,2.86,26.52,G5
882,3.0,38.11,G6
884,3.31,55.52,G8
885,2.67,19.75,G4
886,3.08,40.87,G7
887,2.89,27.94,G5
888,2.35,10.22,G4
889,3.42,61.92,G9
890,3.0,34.83,G6
891,2.61,17.81,G4
892,3.73,84.03,G10
893,3.66,80.16,G10
894,2.64,18.7,G4
895,2.96,30.43,G6
896,3.68,81.61,G10
897,3.66,79.95,G10
898,4.17,97.96,G10
899,4.08,97.3,G10
900,3.81,88.16,G10
901,3.62,77.71,G10
902,3.86,90.05,G10
903,4.15,97.76,G10
904,4.27,98.46,G10
905,4.17,97.95,G10
906,4.04,96.84,G10
907,3.93,92.28,G10
908,4.23,98.13,G10
909,4.05,96.96,G10
910,4.08,97.29,G10
911,4.07,97.18,G10
912,4.26,98.45,G10
913,4.19,98.02,G10
914,3.92,91.88,G10
915,3.91,91.78,G10
916,4.08,97.26,G10
917,3.61,77.46,G10
918,3.74,84.43,G10
919,3.98,93.16,G10
920,3.83,88.76,G10
921,3.79,87.23,G10
922,4.26,98.44,G10
923,4.13,97.67,G10
924,3.96,92.81,G10
925,3.51,72.05,G10
926,4.21,98.09,G10
927,3.97,92.89,G10
928,4.12,97.53,G10
929,3.86,90.07,G10
930,4.2,98.05,G10
931,3.92,91.87,G10
932,3.83,88.82,G10
933,4.03,96.77,G10
934,3.47,64.89,G9
935,3.77,86.45,G10
936,4.01,96.62,G10
937,3.68,81.49,G10
938,3.62,77.56,G10
939,3.31,54.89,G8
940,3.9,91.34,G10
941,3.58,75.42,G10
942,4.11,97.51,G10
943,3.81,88.24,G10
944,3.82,88.67,G10
945,4.06,97.1,G10
946,3.96,92.86,G10
947,4.07,97.16,G10
948,3.74,84.57,G10
949,3.92,92.13,G10
950,4.19,98.01,G10
951,4.15,97.78,G10
952,3.49,65.72,G9
953,4.07,97.15,G10
954,4.03,96.83,G10
955,4.06,97.12,G10
956,3.48,65.62,G9
957,3.24,49.64,G7
958,3.16,45.34,G7
959,3.72,83.53,G10
960,3.51,72.11,G10
961,3.36,58.7,G8
962,3.39,60.44,G9
963,3.57,74.82,G10
964,3.41,61.79,G9
965,4.0,96.52,G10
966,3.51,71.94,G10
967,2.79,24.05,G5
968,3.64,78.99,G10
969,4.1,97.44,G10
970,3.54,73.13,G10
971,3.95,92.59,G10
972,3.15,44.63,G7
973,3.85,89.98,G10
974,3.41,61.5,G9
975,2.9,28.07,G5
976,3.53,73.0,G10
977,2.05,6.65,G3
979,3.16,45.08,G7
980,3.06,39.79,G6
981,2.62,18.06,G4
982,3.66,79.98,G10
983,2.68,19.8,G4
984,2.71,20.55,G5
985,3.41,61.34,G9
986,3.53,72.8,G10
987,3.2,47.96,G7
988,3.36,58.62,G8
989,3.42,62.46,G9
990,2.74,21.27,G5
991,3.56,74.19,G10
992,2.71,20.7,G5
993,3.5,66.09,G9
994,4.01,96.62,G10
996,3.0,34.83,G6
997,3.58,75.24,G10
998,3.2,47.82,G7
999,3.29,53.83,G8
1000,3.11,42.36,G7
1001,2.7,20.37,G5
1002,3.53,72.85,G10
1003,3.14,44.17,G7
1004,2.7,20.25,G5
1005,2.48,12.19,G4
1006,3.24,49.8,G7
1007,2.94,29.75,G5
1008,3.33,56.24,G8
1009,3.14,44.11,G7
1010,3.08,40.69,G7
1011,2.75,21.53,G5
1012,3.56,74.62,G10
1013,3.42,62.34,G9
1014,3.37,59.21,G8
1015,3.26,52.3,G8
1016,3.13,43.62,G7
1017,3.51,72.09,G10
1018,3.08,40.73,G7
1019,3.55,73.87,G10
1020,3.24,49.78,G7
1021,2.85,26.25,G5
1022,3.59,75.82,G10
1023,3.77,86.51,G10
1024,3.19,46.89,G7
1025,3.56,74.26,G10
1026,3.2,47.85,G7
1027,3.28,53.24,G8
1028,3.74,84.28,G10
1029,3.5,66.17,G9
1030,3.09,41.22,G7
1031,3.33,56.34,G8
1032,3.63,78.69,G10
1033,3.43,62.84,G9
1034,3.54,73.27,G10
1035,3.81,88.21,G10
1036,3.94,92.33,G10
1037,2.74,21.44,G5
1038,3.23,49.13,G7
1039,3.0,34.83,G6
1040,3.39,60.49,G9
1041,4.06,97.11,G10
1042,3.45,64.13,G9
1043,3.02,38.53,G6
1044,3.33,57.31,G8
1045,3.15,44.78,G7
1046,3.99,93.24,G10
1047,3.44,63.12,G9
1049,3.41,61.4,G9
1050,3.77,86.61,G10
1051,3.57,75.07,G10
1052,3.39,60.17,G9
1053,3.04,39.01,G6
1054,3.49,66.03,G9
1055,2.73,21.06,G5
1056,3.46,64.65,G9
1057,3.44,63.56,G9
1058,3.3,54.46,G8
1059,3.59,75.99,G10
1060,3.86,90.22,G10
1061,3.64,78.91,G10
1062,3.07,40.23,G7
1063,3.35,58.28,G8
1064,3.08,40.57,G7
1065,2.97,30.8,G6
1066,3.99,93.27,G10
1067,3.43,62.81,G9
1068,3.68,81.41,G10
1069,3.95,92.62,G10
1070,3.09,41.22,G7
1071,3.28,53.28,G8
1073,3.71,83.11,G10
1075,3.46,64.74,G9
1076,3.83,88.88,G10
1077,3.87,90.51,G10
1078,3.74,84.48,G10
1079,3.85,89.87,G10
1080,3.98,93.17,G10
1081,3.52,72.27,G10
1082,3.64,79.18,G10
1083,3.46,64.67,G9
1084,3.89,91.03,G10
1085,3.66,80.16,G10
1086,4.04,96.92,G10
1087,3.41,61.62,G9
1088,3.22,48.7,G7
